"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 29 17:02:56 GMT 2023","Sun Oct 29 17:02:58 GMT 2023","1941","tests.api","API","TestReqResUser","","","Create, update and delete user","An API test with CRUD operations around the User flow using the following Portal: https://reqres.in/"
"broken","Sun Oct 29 17:02:58 GMT 2023","Sun Oct 29 17:03:00 GMT 2023","1875","tests.ui","UI","TestAwaraSleepShop","","","Add mattress to cart by banner on Main page","A test which should open https://qa.awarasleep.com/, click on banner and add mattress to the cart"
