"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 30 04:49:37 GMT 2023","Mon Oct 30 04:49:39 GMT 2023","1965","tests.api","API","TestReqResUser","","","Create, update and delete user","An API test with CRUD operations around the User flow using the following Portal: https://reqres.in/"
"passed","Mon Oct 30 04:49:39 GMT 2023","Mon Oct 30 04:49:53 GMT 2023","13723","tests.ui","UI","TestAwaraSleepShop","","","Add mattress to cart by banner on Main page","A test which should open https://qa.awarasleep.com/, click on banner and add mattress to the cart"
